ean_13,DENOMINATION,Link
2099901526182,Table  L.160/200 + allonge MATERA Blanc/imitation chêne gris,https://www.but.fr/produits/2099901526182/fiche.html
2099901526199,Table L.190/230 + allonge MATERA Blanc/imitation chêne gris,https://www.but.fr/produits/2099901526199/fiche.html
2099901527950,Table extensible L.160/ 200 cm PALAZZO imitation chêne/ blanc,https://www.but.fr/produits/2099901527950/fiche.html
2099901527967,Table extensible L. 180/220 cm PALAZZO imitation chêne/ blanc,https://www.but.fr/produits/2099901527967/fiche.html
2099901528070,Table extensible  L.160/200 cm CARTESIA imitation chêne gris et blanc,https://www.but.fr/produits/2099901528070/fiche.html
2099901528087,Table extensible  L.180/220 cm CARTESIA imitation chêne gris et blanc,https://www.but.fr/produits/2099901528087/fiche.html
2099901528544,Table extensible L.180/220 cm PESARO Imitation chêne/gris,https://www.but.fr/produits/2099901528544/fiche.html
2099901534774,Table céramique L. 120 ARIA Blanc,https://www.but.fr/produits/2099901534774/fiche.html
2099901534781,Table céramique L. 120 ARIA Noir,https://www.but.fr/produits/2099901534781/fiche.html
2099901534798,Table céramique L. 160 ARIA Blanc,https://www.but.fr/produits/2099901534798/fiche.html
2099901534804,Table céramique L. 160 ARIA Noir,https://www.but.fr/produits/2099901534804/fiche.html
3102000112077,Table extensible L.180/225 cm BAXTER imitation chêne/ gris,https://www.but.fr/produits/3102000112077/fiche.html
3102000112091,Table L.170 cm pieds en X BAXTER imitation chêne/ gris,https://www.but.fr/produits/3102000112091/fiche.html
3102000112107,Table L.180 cm pied central BAXTER imitation chêne/ gris,https://www.but.fr/produits/3102000112107/fiche.html
3102000112114,Table L.220 cm pied central BAXTER imitation chêne gris,https://www.but.fr/produits/3102000112114/fiche.html
3102000112121,Table L.200 cm pieds en X BAXTER imitation chêne/gris,https://www.but.fr/produits/3102000112121/fiche.html
3102000112138,Table extensible L.180/225 cm BAXTER imitation chêne,https://www.but.fr/produits/3102000112138/fiche.html
3102000112152,Table L.170 cm pieds en X BAXTER imitation chêne,https://www.but.fr/produits/3102000112152/fiche.html
3102000112169,Table L.180 cm pied central BAXTER imitation chêne,https://www.but.fr/produits/3102000112169/fiche.html
3102000112176,Table L.220 cm pied central BAXTER imitation chêne,https://www.but.fr/produits/3102000112176/fiche.html
3102000112183,Table L.200 cm pieds en X BAXTER imitation chêne,https://www.but.fr/produits/3102000112183/fiche.html
3102000112541,Table L.180 + allonge INSTA blanc brillant/ décor chêne,https://www.but.fr/produits/3102000112541/fiche.html
3102000113616,Table extensible L. 180/225 cm FOREST Imitation chêne,https://www.but.fr/produits/3102000113616/fiche.html
3102000113630,Table ronde extensible 130/175 FOREST Imitation chêne,https://www.but.fr/produits/3102000113630/fiche.html
3102000114064,Table rect + allonge JANE Gris,https://www.but.fr/produits/3102000114064/fiche.html
3102000115085,Table ronde DAVIS Imitation chêne,https://www.but.fr/produits/3102000115085/fiche.html
3170720625078,Table extensible L160-200 cm OSTARA imitation chêne et noir,https://www.but.fr/produits/3170720625078/fiche.html
3248111260037,Table céramique L. 160/220 CHARLIE Blanc,https://www.but.fr/produits/3248111260037/fiche.html
3248111834030,Table extensible  L.90/150 cm AVA Blanc marbré/ céramique,https://www.but.fr/produits/3248111834030/fiche.html
3248111835037,Table céramique L.120/180 CECILIA Blanc mat,https://www.but.fr/produits/3248111835037/fiche.html
3248111835310,Table céramique L.120/180 CECILIA Gris anthracite,https://www.but.fr/produits/3248111835310/fiche.html
3248118150034,COIN REPAS + 2 TAB BAR NINO Blanc / Imitation chêne,https://www.but.fr/produits/3248118150034/fiche.html
3248118600188,Table céramique L. 160 ELLA Gris clair,https://www.but.fr/produits/3248118600188/fiche.html
3248118600317,Table céramique L. 160 ELLA Gris anthracite,https://www.but.fr/produits/3248118600317/fiche.html
3248118600409,Table céramique L. 160 ELLA Blanc / taupe,https://www.but.fr/produits/3248118600409/fiche.html
3397703477701,Table de séjour 160cm AXELLE imitation chêne/ blanc,https://www.but.fr/produits/3397703477701/fiche.html
3480940294511,Table à manger L.223 cm STAN imitation chêne et gris,https://www.but.fr/produits/3480940294511/fiche.html
3480940298328,Table de séjour extensible L.157/207 cm HELMA imitation chêne et noir,https://www.but.fr/produits/3480940298328/fiche.html
3480940300526,Mange debout + Allonge LUNDGE Blanc / Imitation chêne,https://www.but.fr/produits/3480940300526/fiche.html
3483601178571,Table extensible L. 160/200 cm CORK imitation chêne/noir,https://www.but.fr/produits/3483601178571/fiche.html
3609130012777,Table L.170 + allonge EQUATORIA bois massif,https://www.but.fr/produits/3609130012777/fiche.html
3609130015181,Table L.130 cm + allonge FOLK 100% pin,https://www.but.fr/produits/3609130015181/fiche.html
3609130015198,Table L.160/200 cm FOLK 100% pin,https://www.but.fr/produits/3609130015198/fiche.html
3609130016522,Table extensible L. 140/180 cm CAROL Blanc / imitation chêne,https://www.but.fr/produits/3609130016522/fiche.html
3609130016614,Table VIVIANE 200 cm chêne massif,https://www.but.fr/produits/3609130016614/fiche.html
3609130016621,Table VIVIANE 220 cm chêne massif,https://www.but.fr/produits/3609130016621/fiche.html
3609130016928,Table à manger extensible 110-150cm CLAUDIA en pin massif foncé,https://www.but.fr/produits/3609130016928/fiche.html
3609130017055,Table à manger extensible 110-150cm CLAUDIA en pin massif,https://www.but.fr/produits/3609130017055/fiche.html
3609130017154,Table L. 180 VIVIANE Chêne massif,https://www.but.fr/produits/3609130017154/fiche.html
3609130017161,Table L.160 VIVIANE Chêne massif,https://www.but.fr/produits/3609130017161/fiche.html
